Original|Replacement
Beyond a Reasonable Doubt|Vuyik
Beyond the Black Rainbow|Zewagarefov
Beyond the Clouds|Civemoricawe
Beyond the Darkness|Poziko
Beyond the Forest|Vuhirenel
Beyond the Hills|Xabubicikes
Beyond the Law|Vozode
Beyond the Lights|Mavuqujonij
Beyond the Mat|Yekajojahej
Beyond the Poseidon Adventure|Suvekumu
Beyond the Sea|Kaxajarudet
Beyond the Stars|Bavob
Beyond the Time Barrier|Doyuhabocave
Beyond the Valley of the Dolls|Raxonolegom
Bhaag Milkha Bhaag|Wumuhaqonu
Bhaji on the Beach|Siwupefa
Bharat Nalluri|Gatobitiqaf
Bhaskar Roy Chowdhury|Puqucen
Bhoomika Chawla|Lusizakipako
Bhowani Junction|Lofomehegaf
Bianca A. Santos|Sutat
Bianca Olsen|Dibodaceden
Bianco, rosso e Verdone|Jeqihi
Bibi Andersson|Xitado
Bibi Besch|Joneyut
Bibi Naceri|Yusajuqi
Bibo Bergeron|Ganifebumus
Bicentennial Man|Jamafilup
Bickford Shmeckler's Cool Ideas|Widoni
Bicycle Thieves|Roqiveca
Bidzina Gujabidze|Hogok
Big|Buhawa
Big Animal|Monuqi
Big Ass Spider!|Lifaqan
Big Bad Love|Tanuce
Big Bad Mama|Fijavuwanivi
Big Bad Wolf|Tuxazuqah
Big Bad Wolves|Fomapadara
Big Bang Love, Juvenile A|Bazay
Big Boi|Yoted
Big Brown Eyes|Wadeculekuqu
Big Bully|Yasucatiz
Big Business|Dowinado
Big City Blues|Yuyiji
Big Daddy|Seyexag
Big Deal on Madonna Street|Fuwuhopaze
Big Eden|Yilejerilule
Big Eyes|Wufoxebeb
Big Fan|Kiqefocav
Big Fat Liar|Merazija
Big Fella|Cotaca
Big Fish|Soropol
Big Girls Don't Cry|Qiwetef
Big Girls Don't Cry... They Get Even|Tadecahayik
Big Hero 6|Xefupogasu
Big Jake|Fitideb
Big Jim McLain|Moteqa
Big Man Japan|Hiqoxilurujo
Big Miracle|Zekaviguf
Big Momma's House|Hacoyaqovuna
Big Momma's House 2|Zikani
Big Night|Jenurir
Big Nothing|Siwayikacub
Big Pun|Lifadiqufina
Big Shots|Dohurat
Big Stan|Nahotuviquwo
Big Sur|Rexiqifagifo
Big Top Pee-wee|Yasatuk
Big Trouble|Jisuxexejaxa
Big Trouble in Little China|Hayipuzomo
Big Wednesday|Deniqanu
Bigas Luna|Giroqa
Bigfoot|Qaditixufuwi
Bigger Than Life|Wefeb
Bigger Than the Sky|Jesawigemi
Bijou Phillips|Napab
Biker Boyz|Retivi
Bikini Beach|Daxasaneg
Bilitis|Vatejah
Bill Bailey|Puzivun
Bill Bellamy|Loyaj
Bill Bennett|Vazovelumu
Bill Bixby|Nijebax
Bill Briggs|Nagowine
Bill Bryson|Wojumi
Bill C. Davis|Quqet
Bill Carter|Deqoceyec
Bill Clinton|Tazedum
Bill Collage|Pitagegesahu
Bill Condon|Gibujotatof
Bill Corbett|Voqowapoji
Bill Cosby|Tafotis
Bill Coyne|Nesuc
Bill Douglas|Federija
Bill Duke|Sadet
Bill Eagles|Legozuj
Bill Fagerbakke|Nekapukoqako
Bill Fishman|Tivaha
Bill Forsyth|Yakicoja
Bill Froehlich|Facojin
Bill Gallagher|Joravidinitu
Bill Goldberg|Suyajetatilu
Bill Granger|Gudey
Bill Guttentag|Kibicufupeb
Bill Hader|Yalajeb
Bill Haney|Mikojicuv
Bill Hunter|Binuze
Bill Irwin|Ledoliri
Bill Kelly|Gotem
Bill Kerby|Fipuyemicag
Bill Krohn|Xoweyebabez
Bill L. Norton|Segota
Bill Lancaster|Basomidig
Bill Lishman|Yipawokazuv
Bill MacIlwraith|Timevi
Bill Macy|Wojubulido
Bill Maher|Lejufebot
Bill Mauldin|Robikon
Bill Melendez|Pojeqib
Bill Milling|Pokovey
Bill Milner|Simasepidos
Bill Moseley|Kazego
Bill Murray|Vimabi
Bill Naughton|Dazayuhib
Bill Nighy|Korumulu
Bill Nunn|Wujof
Bill O'Reilly|Xudopohopivu
Bill Oberst Jr.|Togizewux
Bill Paterson|Vocucumego
Bill Paxton|Giwajimujay
Bill Peet|Renimo
Bill Persky|Nasutu
Bill Phillips|Rejomaqobama
Bill Plympton|Quxeped
Bill Pullman|Lotucejare
Bill Rebane|Xiqijo
Bill Richmond|Tevesuv
Bill Roberts|Nahafiqasane
Bill S. Ballinger|Honemiwuf
Bill Sage|Cavume
Bill Sherwood|Qekicoju
Bill Thompson|Jukivunara
Bill Thornbury|Diboxogir
Bill Thurman|Lozubusuzano
Bill Travers|Mayasazekome
Bill Walsh|Diwiwu
Bill Walton|Piwawuqore
Bille August|Xocupapu
Bille Woodruff|Poxayavevo
Billie Burke|Cagowugareb
Billie Holiday|Payanaxagu
Billie Letts|Poredu
Billie Piper|Yawago
Billie Whitelaw|Xetomofebaju
Billion Dollar Brain|Weziy
Billu|Xinayar
Billy Barty|Goreqibu
Billy Bathgate|Tesipo
Billy Blanks|Kevevi
Billy Bob Thornton|Cecizilaw
Billy Boyd|Dujecup
Billy Budd|Zoqaf
Billy Burke|Bajoyabar
Billy Campbell|Pesegusa
Billy Chan|Hiyag
Billy Chapin|Kunicuwi
Billy Connolly|Fomocotuhigo
Billy Crudup|Befegoyujit
Billy Crystal|Ruzosajun
Billy De Wolfe|Mavikaguweho
Billy Dee Williams|Vodowogefa
Billy Elliot|Bemiwole
Billy Green Bush|Matud
Billy Hayes|Vinehuyaj
Billy Hopkins|Cerisetiyade
Billy Idol|Sanulenuti
Billy Jack|Sapuwinu
Billy Jack Goes to Washington|Camihuvezo
Billy Kent|Qonito
Billy Liar|Xotixax
Billy Madison|Valuweg
Billy O'Brien|Jucuxedogipa
Billy Ray|Jujac
Billy Rose's Jumbo|Lehoyo
Billy Samoa Saleebey|Torenaneli
Billy Two Hats|Bigufudo
Billy Unger|Caqeqixetame
Billy Warlock|Duhomoxim
Billy West|Dejecahux
Billy Wilder|Wiqozulef
Billy Zane|Jatarimizogi
Billy the Kid|Loyunabemolo
Billy the Kid Versus Dracula|Hevasoxeyib
Billy's Hollywood Screen Kiss|Zuxawusiwaki
Biloxi Blues|Xezamidatuvi
Bima Stagg|Pabizube
Bing Crosby|Secitoqu
Bing Russell|Latenavid
Bingo|Vowazido
Binnie Barnes|Fosunozilo
Binnie Hale|Yusex
Bio-Dome|Xovinadul
Biography|Terojixum
Bipasha Basu|Puyixac
Bird|Pidopijaqoc
Bird People|Vipicaqa
Bird of Paradise|Wiraregasaqi
Bird on a Wire|Wayigih
Birdman of Alcatraz|Lubasekami
Birds of America|Semocafofuz
Birdy|Luheyatap
Birgit Tengroth|Podofe
Birgitte Hjort Sørensen|Yehuqovovoci
Birth|Vubenopi
Birthday Girl|Namezica
Bitch Slap|Qikobi
Bite the Bullet|Jodivococuyo
Bitter Feast|Zarawaxuxi
Bitter Moon|Lujixemiqu
Bitter Rice|Kayoroxu
Bitter Sweet|Nikozawekor
Bitter Victory|Tajidin
Bitty Schram|Zabeyocel
Biutiful|Mises
Bix Skahill|Xopihik
Biyi Bandele|Tucigo
Björk|Vewazera
Björn Almroth|Dohebaze
Björn Stein|Lunoto
Björne Larson|Ginanalup
Bjørn Lomborg|Basahuveg
Bjørn Sundquist|Quzaguwig
Black|Ludevi
Black Angel|Viguviqe
Black Beauty|Keguz
Black Book|Xafarekobiqi
Black Bread|Duqasa
Black Butterflies|Cazenu
Black Cadillac|Hocotanul
Black Caesar|Wiyopiju
Black Cat, White Cat|Yesotositiq
Black Christmas|Pajunesohij
Black Dawn|Turilejemu
Black Death|Qabuhula
Black Dog|Gufapijutaza
Black Dragons|Wudaqehawu
Black Dynamite|Rasijeku
Black Friday|Wumilidu
Black Fury|Figakeside
Black Girl|Tuxicoke
Black God, White Devil|Homoguf
Black Hand|Kofuvo
Black Hawk Down|Nekocirev
Black Ice|Jawatuqa
Black Knight|Gaxohukajap
Black Legion|Hoyurume
Black Like Me|Guvudesimis
Black Magic|Vugikejucuda
Black Mask|Mejubamij
Black Moon|Ledivoz
Black Moon Rising|Jatoganikew
Black Narcissus|Lujeciwu
Black Nativity|Qodip
Black Orpheus|Lizopi
Black Pond|Kologonucuv
Black Rain|Nitomikiwo
Black Rainbow|Sukukekilena
Black River|Boxekolecacu
Black Robe|Rapifukih
Black Rock|Yehisojanec
Black Roses|Kutiqig
Black Sabbath|Kokekeri
Black Sea|Nevoyujap
Black Sheep|Ritetuca
Black Snake Moan|Tuhix
Black Sunday|Virugotexiki
Black Swan|Gubavoneb
Black Tights|Qamutut
Black Venus|Moxosuji
Black Water|Zewodemihu
Black Widow|Bejifoza
Black on White|Bowogabe
Blackball|Cucile
Blackbeard's Ghost|Buzacuheyije
Blackbird|Voyexe
Blackboards|Vunimidahel
Blackfish|Seruz
Blackhat|Payeqehuma
Blackjack|Nufune
Blackmail|Kugen
Blackmailed|Toleyodec
Blackout|Yalekakorowu
Blackrock|Nojaluqero
Blackthorn|Wigame
Blackwoods|Voxojazoku
Blacula|Junadoqeloni
Blade|Mevoginamijo
Blade II|Yewuvizazajo
Blade Runner|Gipuwiy
Blade on the Feather|Kiwakefep
Blades of Glory|Janoq
Blaine Novak|Makadosimoja
Blair Brown|Wasidawuwagi
Blair Erickson|Dufodunuxoca
Blair Hayes|Gurozibiza
Blair Treu|Sotiqevirid
Blair Underwood|Yujoyowi
Blaise Miller|Yexaxajuga
Blake Corbet|Jehibujasi
Blake DeLong|Daqaqeq
Blake Edwards|Mazoloje
Blake Harrison|Buqodalonocu
Blake Lively|Hemax
Blake Nelson|Bacisefikol
Blake T. Evans|Dowizasuwoj
Blame It on Rio|Hemacak
Blame It on the Bellboy|Boqulitip
Blanca Portillo|Ciraduti
Blanche Sweet|Mepabobopudo
Blandine Lenoir|Vefuluyuvu
Blank Check|Heqemu
Blankman|Qejifu
Blast|Qeqoxohoti
Blast from the Past|Tazuqac
Blast of Silence|Sihobo
Blayne Weaver|Puquhele
Blaze|Yodirila
Blaze Starr|Xomowugaweqe
Blazing Saddles|Poxodo
Bleak Moments|Rupuk
Bleeder|Sitek
Blended|Xasukohe
Bless Me, Ultima|Favuvemobo
Bless the Child|Yijudobomu
Blessed Event|Yalihoza
Blind|Hekunuhoci
Blind Alley|Gepuxile
Blind Date|Tohoh
Blind Dating|Zizomilabamu
Blind Faith|Xunuv
Blind Fury|Koluhoboqa
Blind Horizon|Xakokaj
Blind Husbands|Bejiviwurus
Blindman|Jijokekevol
Blindness|Vikuzoruyoqo
Blink|Biyeqoy
BlinkyTM|Rojuyuhewaw
Bliss|Leteduhafamo
Blissfully Yours|Toxih
Blithe Spirit|Sulatovom
Blitz|Witaroj
Block-Heads|Jiyucifa
Blonde Ambition|Noquwugelero
Blonde Crazy|Mokatic
Blonde Ice|Fozov
Blonde Venus|Hakunutoxuli
Blonde and Blonder|Toyuboqiwiw
Blondie of the Follies|Suvudenoyew
Blondie on a Budget|Qepiziwezu
Blondin Miguel|Hadaha
Blood|Bukipuzej
Blood Alley|Muburuw
Blood Beach|Netakopeqeje
Blood Creek|Vedogogoy
Blood Diamond|Gokukuy
Blood Done Sign My Name|Buvamekomax
Blood Feast|Refoqugu
Blood Glacier|Vekeweboke
Blood Out|Jadexevoles
Blood Relatives|Vilaci
Blood River|Wusarekiruba
Blood Ties|Wuseyasud
Blood Trails|Defezo
Blood Work|Mefewasulufa
Blood and Black Lace|Habifuhixi
Blood and Bone|Mejod
Blood and Bones|Duyiy
Blood and Roses|Yovinox
Blood and Sand|Nasazuno
Blood and Wine|Vicekupepam
Blood for Dracula|Paqodoyid
Blood from the Mummy's Tomb|Ducaqi
Blood of Dracula|Qasiyo
Blood of Redemption|Tuyul
Blood of the Vampire|Kehatak
Blood on the Moon|Xiwubuhe
Blood on the Sun|Takedopa
Blood, Guts, Bullets and Octane|Kalizi
BloodRayne|Ziqekunip
Bloodbath at the House of Death|Citewakifu
Bloodbrothers|Pevuz
Bloodfist|Diyiboj
Bloodhounds of Broadway|Redazew
Bloodsport|Nivabujehuk
Bloodsuckers|Yopifiwisuno
Bloody Birthday|Sonijizok
Bloody Bloody Bible Camp|Tiqevi
Bloody Mama|Hohutomufene
Bloody Murder|Totokabo
Bloody Pit of Horror|Gehodesuyawe
Bloody Sunday|Coguco
Bloomington|Medifi
Blossoms in the Dust|Dahexeyure
Blow|Nafuz
Blow Dry|Kiwipax
Blow Out|Kizub
Blown Away|Roqafolir
Blubberella|Vumajaweyoye
Blue|Nalesaguhoc
Blue Blood|Canaf
Blue Caprice|Qohowup
Blue Car|Tecawo
Blue Chips|Nogowanequ
Blue City|Diwosaki
Blue Collar|Yohevos
Blue Crush|Temefakacu
Blue Denim|Cawaca
Blue Harvest|Fiwejufodag
Blue Hawaii|Nipirupenus
Blue Jasmine|Vikodo
Blue Juice|Kotovoqugew
Blue Like Jazz|Codocol
Blue Ruin|Xaquku
Blue Skies|Kayuyoyi
Blue Sky|Sebafiqayuj
Blue Smoke|Sokati
Blue Spring|Zacibomejono
Blue State|Hebafu
Blue Steel|Heropejokuj
Blue Streak|Lirowomivelo
Blue Sunshine|Hijolufuke
Blue Thunder|Kipunizetoxa
Blue Valentine|Faxoki
Blue Velvet|Witisusiy
Blue in the Face|Diyezayiceke
Bluebeard|Xivahupi
Blues Brothers 2000|Mupawubufeqi
Blues Harp|Jilej
Blues in the Night|Tarurod
Blume in Love|Goyixubawin
Blutzbrüdaz|Luzeso
Blythe Danner|Sefezocano
Bo Burnham|Lubekoyenif
Bo Derek|Huvaja
Bo Dietl|Kobageretal
Bo Goldman|Rupuzelonad
Bo Hopkins|Jolivokomuyo
Bo Hr. Hansen|Sisepab
Bo Svenson|Jutakud
Bo Widerberg|Hatutibidat
BoA|Vimimuneca
Boarding Gate|Gacihunur
Boat People|Zumuwuyetaz
Boat Trip|Favepetah
Boaz Davidson|Bobumomawuw
Boaz Yakin|Fodesox
Bob Babbitt|Zarog
Bob Badway|Nadale
Bob Balaban|Jaxok
Bob Brooks|Vagijepo
Bob Brunner|Cezonaw
Bob Burden|Bodicaqu
Bob Byington|Mitigemotoyi
Bob Clark|Lapoy
Bob Crane|Newolugixohi
Bob DeRosa|Leperofav
Bob Denver|Foresexiw
Bob Dermer|Gawipilaheg
Bob Dolman|Lawurefed
Bob Ducsay|Lurazo
Bob Dylan|Gimadefeco
Bob Elliott|Kunay
Bob Ellis|Numoco
Bob Fisher|Sutowamoraga
Bob Fosse|Nalufoqe
Bob Franklin|Yijebuqo
Bob Gale|Noponekem
Bob Giraldi|Qohuvude
Bob Gosse|Lukejejehabu
Bob Greene|Sipuz
Bob Guccione|Hizise
Bob Gunton|Vopiqer
Bob Hoge|Muyagupeqo
Bob Hope|Gegureciqux
Bob Hoskins|Juxac
Bob Israel|Revuhufu
Bob Kane|Lofepomaca
Bob Kelljan|Levebehu
Bob Logan|Rematiz
Bob Merrill|Paqoduzizi
Bob Misiorowski|Gadapozug
Bob Morley|Funalebesoz
Bob Mosher|Sujovofoname
Bob Nelson|Kovusimil
Bob Newhart|Sehaho
Bob Odenkirk|Goromof
Bob Peck|Nilarahit
Bob Peterson|Juzopoz
Bob Rafelson|Tafalakej
Bob Randall|Yufipa
Bob Roberts|Hubaga
Bob Saget|Huyomowivoxo
Bob Shaw|Pecefe
Bob Spiers|Yopikisu
Bob Swaim|Kabipiloye
Bob Tzudiker|Nagaqonocah
Bob Weinstein|Vileyipe
Bob Woodward|Dorabi
Bob the Butler|Seruxafuqu
Bob's Birthday|Raxukatij
Bobb'e J. Thompson|Detejafupag
Bobbie Ann Mason|Yiduzutuki
Bobbie Phillips|Kidinejep
Bobby|Wuxamurano
Bobby Brown|Gazumoxovaqi
Bobby Cannavale|Libemafa
Bobby Clark|Rixaha
Bobby Coleman|Lazihu
Bobby Darin|Tatepejed
Bobby Deerfield|Sufukej
Bobby Deol|Zatagavekac
Bobby Di Cicco|Jamuxafasefe
Bobby Driscoll|Zivufayiwap
Bobby Farrelly|Siqetolih
Bobby Garabedian|Hodarecaj
Bobby Moat|Sovawevusenu
Bobcat Goldthwait|Gumanodenihe
Bobita|Yogivoxitehu
Boca|Gahizu
Boccaccio '70|Posemekigu
Body Bags|Ticomonivuka
Body Count|Gicicuyani
Body Double|Zunir
Body Heat|Wawogehone
Body Parts|Kuguluyuca
Body Shots|Cufix
Body Snatchers|Taciwiquhap
Body and Soul|Firunuvos
Body of Evidence|Meyazedezuz
Body of Lies|Buvaperule
Body of War|Lobuqog
Bodyguards and Assassins|Gabedufe
Bogus|Govuhosikoko
Bohdan Czeszko|Nevebukubiko
Bohdan Sláma|Laweyuqafiy
Boiler Room|Tuvisokomi
Boiling Point|Ninudibo
Bojana Novakovic|Reyogahag
Bokeem Woodbine|Logaqixoxo
Bolero|Kebopokatuzi
Bolivia|Witakun
Bollywood/Hollywood|Kolegaretov
Bolt|Wuyekefe
Boman Irani|Judizupuhab
Bomb the System|Yecazoku
Bombardier|Telipozuriku
Bombay Talkie|Bakezi
Bomber|Buhupemet
Bombshell|Hapanusodu
Bond Girls Are Forever|Davixive
Bone|Cafoquxovov
Bones|Weruhehaxa
Bongwater|Bipufojim
Bonita Granville|Tohidowixuv
Bonjour Monsieur Shlomi|Vuyovuluf
Bonjour Tristesse|Toyucoyob
Bonneville|Yemasekubip
Bonnie Bedelia|Bowigelah
Bonnie Dennison|Kameraf
Bonnie Gruesen|Jekawobu
Bonnie Hill|Xakuw
Bonnie Hunt|Qevutexopoh
Bonnie Scotland|Duletesaler
Bonnie Sikowitz|Ziqayocuzo
Bonnie Somerville|Cuhodefixe
Bonnie and Clyde|Xikipufa
Bono|Xiqugamahife
Booboo Stewart|Tutogefo
Boogeyman|Qewec
Boogie|Lurudopoq
Boogie Nights|Reqefur
Boogie Woogie|Fupoyuw
Book of Love|Wibogihexeq
Bookies|Tixupisi
Boom Town|Gimigulu
Boom!|Goxapuqa
Boomerang|Rijuni
Boot Camp|Moxatehul
Booth Tarkington|Wunipi
Bootmen|Xaboqisuk
Boots and Saddles|Hakisuxixo
Booty Call|Jifogoze
Bopha!|Hifawepew
Bordello of Blood|Mifefaxafiku
Borden Chase|Hipazelepix
Borden Deal|Qocanuso
Border Incident|Ganuhoqamiva
Border Radio|Zilovucecota
Border Run|Jeximino
Borderland|Kocojav
Borderline|Duquto
Bordertown|Vefax
Borgman|Boverideluh
Boris Barnet|Vokuxozokewa
Boris Giller|Sisehuzoduyu
Boris Ingster|Viponiwivere
Boris Karloff|Nonawuki
Boris Khlebnikov|Mexeyilaz
Boris Kodjoe|Jubiwizofem
Boris Pasternak|Yenebivu
Boris Petroff|Livexiyugeg
Boris Sagal|Cofedikewoku
Boris Vian|Tuxewime
Born American|Humet
Born Free|Sadeyuwo
Born Reckless|Qecoqubemu
Born Romantic|Sedila
Born Yesterday|Kujuhidisi
Born in East L.A.|Bibup
Born in Flames|Rafunadiyos
Born on the Fourth of July|Vasubenupir
Born to Be Bad|Ponumub
Born to Be Wild|Malowuyitecu
Born to Dance|Cenunoqu
Born to Fight|Xonetavakeje
Born to Kill|Fudakoniko
Born to Raise Hell|Beyotoh
Born to Win|Sidodosaxin
Born to the West|Hujagotawe
Borrowed Hearts|Migusexihoc
Bosnian|Nesolojigimu
Bossa Nova|Dafijadaqub
Botched|Catis
Bottle Rocket|Kedugifu
Bottle Shock|Wiramot
Bouck White|Juliyip
Boudewijn Koole|Gukejosuriw
Boudu Saved from Drowning|Bayuviq
Boulevard|Vomuqur
Bouli Lanners|Madaxikayi
Bounce|Yoyego
Bound|Pucozikeso
Bound for Glory|Yataqo
Boundin'|Tuqoraradafa
Bounty Killer|Rolazibor
Bourvil|Ruluxa
Bowery at Midnight|Fidehagab
Bowfinger|Pakapoced
Bowling for Columbine|Sihafu
Boxcar Bertha|Gucaf
Boxing Helena|Nunupan
Boy|Cimetiwixas
Boy A|Kajuv
Boy Eating the Bird's Food|Kahatahik
Boy Eats Girl|Qevagu
Boy Meets Girl|Yuzaqu
Boy Wonder|Kixubes
Boy on a Dolphin|Rudisavenicu
Boy, Did I Get a Wrong Number!|Kazoregi
Boyd Holbrook|Zulijuwuw
Boyd Oxlade|Dowopadebicu
Boyfriends and Girlfriends|Dawuhagefe
Boyhood|Nufimak
Boynton Beach Club|Fapikahituka
Boys|Sapobit
Boys Don't Cry|Wugow
Boys Love|Fesocoful
Boys Town|Midafozovice
Boys and Girls|Sugitohehac
Boys on the Side|Zorisimuv
Boys' Night Out|Ticivufo
Boyz n the Hood|Cutululeta
Brad Anderson|Sagez
Brad Ashten|Futiz
Brad Bird|Qefizabuvini
Brad Cohen|Fuzicidine
Brad Davis|Hamidum
Brad Dexter|Qeqisobiboxa
Brad Dourif|Vitiyiseb
Brad Furman|Desoq
Brad Garrett|Tevacuwe
Brad Hall|Jowem
Brad Ingelsby|Liwave
Brad J. Silverman|Netefeheyo
Brad Johnson|Diqicute
Brad Kaaya|Sowigavovo
Brad Keene|Mojalur
Brad Lewis|Foziyaritiz
Brad McGann|Gexocuhifaf
Brad Mirman|Yacawapedis
Brad Pitt|Tepodu
Brad Renfro|Wocihedenav
Brad Riddell|Vezohokig
Brad Roberge|Jucavuru
Brad Rowe|Vamidizuy
Brad Silberling|Towesepilodi
Brad Steiger|Konubarovix
Brad Sullivan|Palike
Brad White|Nazepesofuko
Bradford Dillman|Soqiyanara
Bradford Ropes|Gupeko
Bradley Allenstein|Semim
Bradley Battersby|Rekuguboro
Bradley Cooper|Zisonicili
Bradley Pierce|Boyey
Bradley Rust Gray|Mafivovayi
Bradley Whitford|Mapogepitutu
Brady Corbet|Lutadaw
Brady Kiernan|Yowuyasifitu
Bragi F. Schut|Tanor
Brain Damage|Dazaro
Brain Dead|Buyofiqijuz
Brain Donors|Vemifayubuvu
Brain Drain|Kujap
Brainscan|Bosayogayuh
Brainstorm|Fiyuriwo
Brake|Qorumifusu
Bram Stoker|Deyuzoci
Bram Stoker's Dracula|Juxoc
Bramwell Fletcher|Leseritin
Bran Nue Dae|Woguy
Branded|Gapegivowo
Branded to Kill|Bateh
Brandon Beckner|Desoloza
Brandon Camp|Yasamiha
Brandon Choi|Qodatosuh
Brandon Cole|Qaninucal
Brandon Cronenberg|Rarihivu
Brandon Drake|Ledarecedic
Brandon Lee|Saxaval
Brandon Quinn|Penosof
Brandon Ratcliff|Sudayan
Brandon Rice|Jalevi
Brandon Routh|Ravuqihasabe
Brandon Sean Pearson|Kisatuhedagi
Brandon T. Jackson|Qizezotup
Branko Tomovic|Veqakesixew
Brannigan|Yuqarowi
Brant Daugherty|Sugakafid
Brant Sersen|Kasafubizu
Brass Target|Jejam
Brassed Off|Wufajezereyu
Brave|Sisoc
Brave New World|Cidapa
Braveheart|Texaboji
Brazil|Bemupoxuhoc
Brazilian Western|Newase
Breach|Tuqiqetecun
Bread and Chocolate|Hoxigome
Bread and Roses|Gipivehe
Bread and Tulips|Rifogomes
Bread, Love and Dreams|Feyojepamime
Break Up|Jevoq
Breakaway|Ketaquy
Breakdown|Jedahe
Breaker Morant|Gokase
Breaker! Breaker!|Vesugobimucu
Breakfast at Tiffany's|Norec
Breakfast of Champions|Lejiyimajaga
Breakfast on Pluto|Lipopuhipu
Breakfast with Scot|Zuwaci
Breakheart Pass|Qisupibi
Breakin'|Sogawoj
Breakin' All the Rules|Meteginaye
Breaking Away|Zayote
Breaking In|Vovimiver
Breaking News|Pidavokixux
Breaking Point|Kalat
Breaking Up|Vakatatim
Breaking Upwards|Nefiyug
Breaking Wind|Voqidelax
Breaking and Entering|Wuyipacaxog
Breaking the Rules|Gigalexegoke
Breaking the Waves|Wusix
Breakout|Kusitiz
Breast Men|Woruc
Breathe In|Kiniwomivare
Breathing Fire|Bariwazivofi
Breathing Room|Fupeney
Breathless|Yiduxu
Breck Eisner|Xodireyohoxo
Breckin Meyer|Yaquyar
Bree Walker|Kavaguro
Breezy|Sakaheqisa
Brenda Blethyn|Xenociy
Brenda Chapman|Canasom
Brenda Fricker|Rowapasocuci
Brenda Joyce|Jakudajudoyo
Brenda Marshall|Buvon
Brenda Starr|Noloru
Brenda de Banzie|Pasoweyela
Brendan Corbalis|Qojafaqiyo
Brendan Cowell|Tegikeqo
Brendan Cowles|Wazede
Brendan Coyle|Wocitiwetuca
Brendan Fehr|Duyulud
Brendan Fletcher|Qisigomifahe
Brendan Foley|Sokudame
Brendan Fraser|Letaqiz
Brendan Gleeson|Vagen
Brendan Mackey|Nesipe
Brendan McFadden|Ruzasixoluna
Brendan Meyer|Qubiwi
Brendan O'Carroll|Lulifayu
Brendan Patricks|Teture
Brendan Sexton III|Jivag
Brenden Gregory|Satutu
Breno Mello|Fuvinojota
Brent Briscoe|Xexamavuf
Brent Gorski|Fizuzapo
Brent Hartinger|Cekoloqovida
Brent Hodge|Socelus
Brent Maddock|Banepulo
Brent McCorkle|Zuvez
Brent Monahan|Cadawa
Brent Shields|Yidezonu
Brenton Spencer|Dagaguki
Brenton Thwaites|Tafoki
Bret Easton Ellis|Madelusore
Bret McKenzie|Rakiy
Bret Michaels|Bugahunuhifi
Bret Roberts|Tegerucajol
Bretaigne Windust|Mamohomex
Brett Davern|Qoqowujamuco
Brett Donowho|Vakago
Brett Halliday|Nelebuhijux
Brett Halsey|Pefob
Brett Ihaka|Liseratoli
Brett Kelly|Xugex
Brett Leonard|Yutorize
Brett Morgen|Nigowarow
Brett Pierce|Puheve
Brett Piper|Goyig
Brett Ratner|Yevaf
Brett Simmons|Sutuyuf
Brett Simon|Cinomotixa
Brett Sullivan|Nasegofuraqa
Brewster McCloud|Ziwel
Brewster's Millions|Qebohe
Brian A Miller|Keguq
Brian Aherne|Feniwovoku
Brian Aldiss|Hewiqiqir
Brian Askew|Xexapahakuc
Brian Austin Green|Fulizicevudo
Brian Backer|Yabiwawafiha
Brian Benben|Loguwor
Brian Bird|Dihazogoq
Brian Blessed|Gibatuges
Brian Bloom|Gonuzugoxuz
Brian Bonsall|Yelig
Brian Bosworth|Gejihux
Brian Carbee|Sibugunu
Brian Caunter|Waficer
Brian Charles Frank|Hasowadu
Brian Clark|Padaxeriz
Brian Cox|Yovenoje
Brian Crano|Tiwevubehahi
Brian D. Smith|Tucitifubono
Brian Dannelly|Hiniciqad
Brian De Palma|Zumohare
Brian Dennehy|Putekasobugi
Brian Desmond Hurst|Jebepadivihi
Brian DiMuccio|Gutukalik
Brian Donlevy|Jojuye
Brian Fair Berkey|Fadaciqazero
Brian Flemming|Zirimeki
Brian Friel|Qigut
Brian G. Hutton|Najadaxewuki
Brian Garfield|Yotel
Brian Geraghty|Rajufasite
Brian Gibson|Fejixuge
Brian Gilbert|Dodivumez
Brian Goodman|Reyekixomu
Brian Grant|Qapakubakuyu
Brian Haley|Biyehu
Brian Hecker|Nitaxowu
Brian Helgeland|Monoxejoq
Brian Henson|Zefekoxej
Brian Holden|Latavoz
Brian Hooker|Vapadit
Brian Hooks|Pazotuder
Brian Keith|Piwavuw
Brian Kerwin|Werikuverari
Brian King|Gisopo
Brian Klugman|Fokuden
Brian Koppelman|Jujosi
Brian Krause|Dedibit
Brian Levant|Xiwixeqaxiy
Brian Lynch|Bugoh
Brian McNamara|Mepudacusita
Brian Miller|Pekarehoso
Brian Moore|Lilom
Brian Morton|Rakipacebi
Brian Nelson|Jutihezafuda
Brian O'Halloran|Qinofiyiwoxe
Brian Percival|Kebuk
Brian Petsos|Sobezexaga
Brian Pimental|Hojomibi
Brian Posehn|Penin
Brian Presley|Meqed
Brian Pulido|Sobolulege
Brian Robbins|Qovun
Brian S. Kalata|Mifuqojodu
Brian Selznick|Guxuzixif
Brian Skeet|Dadivedoma
Brian Sloan|Nemozipiqiqo
Brian Smrz|Pajujazaz
Brian Steidle|Qohul
Brian Taggert|Hocabayag
Brian Taylor|Noraqek
