Original|Swapped_To|Type
Aria|Dracula Untold|title
Ariadna Gil|Oyanka Cabezas|person_name
Ariana Richards|Alex Sichel|person_name
Ariane|Chris Conroy|person_name
Ariane Labed|Julie Bertuccelli|person_name
Ariane Mnouchkine|Charles Vidor|person_name
Ariano Suassuna|Jean Constantin|person_name
Aric Avelino|William Eastlake|person_name
Arie Posin|Queen Latifah|person_name
Arie Verveen|Ludovic Halévy|person_name
Ariel|No Logo|title
Ariel Dorfman|Kynaston Reeves|person_name
Ariel Schulman|Sheridan Le Fanu|person_name
Ariel Vromen|Simon Aboud|person_name
Ariel Winter|Dodie Smith|person_name
Arielle Dombasle|Birgit Tengroth|person_name
Arielle Kebbel|Sara Rue|person_name
Arifin Putra|Jerry Levine|person_name
Arijit Biswas|Don Megowan|person_name
Arild Fröhlich|Hector Herrera|person_name
Arin Crumley|Annabelle Gurwitch|person_name
Aris Servetalis|Jackie Robinson|person_name
Arise, My Love|Youth in Revolt|title
Aristomenis Tsirbas|Ernest B. Schoedsack|person_name
Aristophanes|Martin Hynes|person_name
Arizona|Young Aphrodites|title
Arizona Dream|Jack Strong|title
Arizona Raiders|A Little Romance|title
Arjun Kapoor|Mimsy Farmer|person_name
Arjun Rampal|Daniel Woodrell|person_name
Arlen Escarpeta|Barbara Payton|person_name
Arlene Dahl|Gordon Williams|person_name
Arlene Davidson|Scott Elrod|person_name
Arlene Francis|Derek Hough|person_name
Arlene Sanford|Charles Kaufman|person_name
Arlene Sarner|Mike Birbiglia|person_name
Arlette Langmann|Emmanuel Kervyn|person_name
Arletty|Willard Mack|person_name
Arlington Road|The Wedding Planner|title
Arliss Howard|Catalina Saavedra|person_name
Arlo Guthrie|Nuno Lopes|person_name
Arly Jover|Edward Yang|person_name
Armageddon|The Back-up Plan|title
Armand Assante|Marc Tulin|person_name
Armand Mastroianni|Chris Graham|person_name
Armando Crispino|Talib Kweli|person_name
Armando De Razza|Chuck Barris|person_name
Armando Espitia|Matthew O'Callaghan|person_name
Armando Iannucci|Irv Spector|person_name
Armed and Dangerous|The Unknown Soldier|title
Armen Evrensel|Saffron Burrows|person_name
Armie Hammer|Jimmy Conlin|person_name
Armistead Maupin|Linda Manz|person_name
Armitage Trail|Arsinée Khanjian|person_name
Armless|I Love You, I Love You Not|title
Armored|My Summer of Love|title
Armored Car Robbery|Octopussy|title
Armour of God|Blow Dry|title
Army of Darkness|King Cobra|title
Armyan Bernstein|Eden Phillpotts|person_name
Arna Selznick|Robin Quivers|person_name
Arnaldur Indriðason|Charles Chaplin|person_name
Arnaud Desplechin|Dustin Milligan|person_name
Arnaud Larrieu|Bob Swaim|person_name
Arnaud d'Usseau|Manhattan|title
Arne Glimcher|David Dobkin|person_name
Arne Olsen|Marie Belloc Lowndes|person_name
Arne Skouen|Sarah Polley|person_name
Arne Sultan|Jessica Duffy|person_name
Arno Frisch|Joel Fabiani|person_name
Arnold Bennett|Lotfy Nathan|person_name
Arnold Fanck|Donald Hamilton|person_name
Arnold Glassman|Vanessa Parise|person_name
Arnold Laven|Paolo Villaggio|person_name
Arnold Lucy|Elie Samaha|person_name
Arnold M. Stone|Jonathan Nolan|person_name
Arnold Perl|Nicholas Webster|person_name
Arnold Schulman|Claire Julien|person_name
Arnold Schwartzman|Frank Marshall|person_name
Arnold Schwarzenegger|Tom Hulce|person_name
Arnold Stang|F. Scott Fitzgerald|person_name
Arnold Vosloo|Amy Tan|person_name
Arnon Goldfinger|Jessie Royce Landis|person_name
Aron Gaudet|David Lee Henry|person_name
Aron Ralston|Howard Hawks|person_name
Around the Bend|Mr. Sardonicus|title
Around the Block|The Land Girls|title
Around the World Under the Sea|I Spy|title
Around the World in 80 Days|Superman|title
Around the World in Eighty Days|Little Miss Broadway|title
Arranged|The Maze|title
Arrowhead|Milk|title
Arrowsmith|The Bostonians|title
Arsenic and Old Lace|Slaves of New York|title
Arsenio Hall|Dennis Wilson|person_name
Arshad Warsi|Jan Struther|person_name
Arsinée Khanjian|J. Grubb Alexander|person_name
Arsène Lupin|Savannah Smiles|title
Art Carney|Terry Winsor|person_name
Art Cohn|Takuji Ushiyama|person_name
Art D'Alessandro|O. Henry|person_name
Art Edler Brown|Glenn Corbett|person_name
Art Evans|Robert Hardy Andrews|person_name
Art Garfunkel|Preston A. Whitmore II|person_name
Art Hindle|Kevin Durand|person_name
Art LaFleur|Paul Marcus|person_name
Art Linson|Gregori Viens|person_name
Art Marcum|Sylvia Anderson|person_name
Art School Confidential|Inspector Clouseau|title
Artemisia|Women on the Verge of a Nervous Breakdown|title
Arthur|Night Catches Us|title
Arthur A. Ross|Francis Renaud|person_name
Arthur Alsberg|Craig Thomas|person_name
Arthur Barron|Tad Savinar|person_name
Arthur Bernède|Ravi Kapoor|person_name
Arthur Blessitt|Christos Stergioglou|person_name
Arthur Browne Jr.|Thommy Berggren|person_name
Arthur C. Clarke|Claudia Allen|person_name
Arthur Caesar|Jamie Dornan|person_name
Arthur Carter|Dabney Coleman|person_name
Arthur Christmas|Love Happens|title
Arthur Conan Doyle|Paige O'Hara|person_name
Arthur Crabtree|Cameron Bright|person_name
Arthur Dreifuss|Cliff Richard|person_name
Arthur Flam|Phil Silvers|person_name
Arthur Franz|Chris Wedge|person_name
Arthur Godfrey|Tony Vitale|person_name
Arthur H. Lewis|Michael Ian Black|person_name
Arthur H. Nadel|Roger Guenveur Smith|person_name
Arthur Hailey|Jennifer Chambers Lynch|person_name
Arthur Hill|Clayton Jacobson|person_name
Arthur Hiller|Hanna Sköld|person_name
Arthur Hilton|Travis Fine|person_name
Arthur Hunnicutt|Evan Glodell|person_name
Arthur J. Beckhard|Elaine Hurt|person_name
Arthur Kennedy|Stephen Tolkin|person_name
Arthur Kober|Cyril Cusack|person_name
Arthur Kopit|Lamberto Bava|person_name
Arthur Krystal|Taylor Wong|person_name
Arthur La Bern|Lana Turner|person_name
Arthur Lake|Stephen Roberts|person_name
Arthur Laurents|Barbi Benton|person_name
Arthur Levinson|John McTiernan|person_name
Arthur Lowe|Barbara Peeters|person_name
Arthur Lubin|Andrew Knight|person_name
Arthur Malet|Darris Love|person_name
Arthur Marks|Hurd Hatfield|person_name
Arthur Mayse|Marie Brenner|person_name
Arthur Miller|Dee Wallace|person_name
Arthur Newman|The Waterboy|title
Arthur O'Connell|Luiz Fernando Carvalho|person_name
Arthur Penn|Rupert Julian|person_name
Arthur Qwak|Tuomas Holopainen|person_name
Arthur Richman|Vanessa Taylor|person_name
Arthur Roberts|Noah Ringer|person_name
Arthur Schnitzler|Gal Uchovsky|person_name
Arthur Sheekman|Jessica Barondes|person_name
Arthur Shields|Mahesh Nair|person_name
Arthur Somers Roche|George Kennedy|person_name
Arthur Symons|Claire Foy|person_name
Arthur T. Horman|Irene Papas|person_name
Arthur Treacher|Chelsea Hobbs|person_name
Arthur Weiss|Curt Goetz|person_name
Arthur Wimperis|Virginia Grey|person_name
Arthur Wing Pinero|James Salter|person_name
Arthur and the Invisibles|L'Eclisse|title
Article 99|Daylight|title
Artie Lange|Maurice Roëves|person_name
Artie Mandelberg|Chuck Norris|person_name
Artie Shaw|John Pankow|person_name
Artists and Models|The Buddy Holly Story|title
Arto Paasilinna|Dwayne Johnson|person_name
Artois the Goat|Efectos secundarios|title
Artur London|William A. Fraker|person_name
Arturo Barba|Phil Jackson|person_name
Arturo Ripstein|Erle C. Kenton|person_name
Arturo de Córdova|Isabella Rossellini|person_name
Artyom Strelnikov|Santha Rama Rau|person_name
Arye Gross|Lilia Skala|person_name
As Above, So Below|Undiscovered|title
As Cool as I Am|Time to Leave|title
As Good as It Gets|Bitch Slap|title
As I Lay Dying|A Man and a Woman|title
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty|Winter in Wartime|title
As It Is in Heaven|Walking and Talking|title
As Luck Would Have It|They Call Me Mister Tibbs!|title
As Tears Go By|My Voyage to Italy|title
As You Like It|Actrices|title
Asa Butterfield|Franco Fabrizi|person_name
Asaka Seto|Jalal Merhi|person_name
Asami|Michael Shannon|person_name
Asanee Suwan|Pascal Bourdiaux|person_name
Asger Leth|Michael A. Musmanno|person_name
Asghar Farhadi|James Twyman|person_name
Ash Adams|Al Jean|person_name
Ash Brannon|Roy Castle|person_name
Ash Wednesday|The Accidental Tourist|title
Ashani Sanket|Jesse James Meets Frankenstein's Daughter|title
Ashanti|David R. Schwartz|person_name
Asher Tzarfati|Theo James|person_name
Ashes and Diamonds|Problem Child 2|title
Ashik Kerib|The Woman in the Window|title
Ashleigh Ball|Jean Howell|person_name
Ashley Bell|Sheila Sim|person_name
Ashley Benson|Stuart Douglass|person_name
Ashley Greene|Philip Moeller|person_name
Ashley Hinshaw|Nicolas Duvauchelle|person_name
Ashley Jensen|Anna Muylaert|person_name
Ashley Judd|Bhoomika Chawla|person_name
Ashley Laurence|Val Kilmer|person_name
Ashley Montagu|Lane Slate|person_name
Ashley Olsen|Jacques Perrin|person_name
Ashley Peldon|Phil Hay|person_name
Ashley Rickards|Wes Ramsey|person_name
Ashley Schneider|Cady McClain|person_name
Ashley Scott|Vince Colosimo|person_name
Ashley Tisdale|Aaron Blabey|person_name
Ashley Williams|Hoyt Axton|person_name
Ashton Holmes|Tamala Jones|person_name
Ashton Kutcher|Shannon Hale|person_name
Ashutosh Gowariker|Rupert Goold|person_name
Asia Argento|Mari Morrow|person_name
Asif Kapadia|Michelle Reis|person_name
Asin|Hugh Jackman|person_name
Ask the Dust|Gentlemen Broncos|title
Asmo Hurula|William Wheeler|person_name
Aspen Extreme|Cruel Intentions 3|title
Ass Backwards|Backstage|title
Assaf Bernstein|Julie Warner|person_name
Assassination|The Old Fashioned Way|title
Assassination Games|Lover Come Back|title
Assassination Tango|Snake Eyes|title
Assassination of a High School President|The Black Cauldron|title
Assassins|In Darkness|title
Assault on Precinct 13|Crime Zone|title
Assault on Wall Street|Freedomland|title
Assault on a Queen|The Bourne Legacy|title
Assi Dayan|Christine Lahti|person_name
Assumpta Serna|Frederic I. Rinaldo|person_name
Asta Ots|Eric Mandelbaum|person_name
Asterix Conquers America|Evan Almighty|title
Asterix and Cleopatra|Kwaidan|title
Asterix and the Big Fight|Loosies|title
Asterix and the Vikings|Kids Return|title
Asterix at the Olympic Games|The Kentuckian|title
Asterix the Gaul|Ali Baba Goes to Town|title
Astra Taylor|Veerle Baetens|person_name
Astrid Holm|Betsy Palmer|person_name
Astrid Lindgren|Silvio Berlusconi|person_name
Astrid Meyerfeldt|Attila Dargay|person_name
Astro Boy|That Certain Woman|title
Asylum|Bear's Kiss|title
At Any Price|Nobody Knows Anybody|title
At Close Range|Neighboring Sounds|title
At First Sight|The Marine|title
At Five in the Afternoon|Forever Mine|title
At Long Last Love|Stand by Me Doraemon|title
At Middleton|The Brave One|title
At Midnight I'll Take Your Soul|Steep|title
At Play in the Fields of the Lord|Troll|title
At Point Blank|Holiday Inn|title
At Sword's Point|Terror of Mechagodzilla|title
At War with the Army|In the House|title
At the Circus|Oceans|title
At the Devil's Door|L'Enfer|title
At the Earth's Core|The Luzhin Defence|title
Ataru Oikawa|Ralph Farquhar|person_name
Ate de Jong|Jon Cypher|person_name
Athena|Exorcismus|title
Athina Rachel Tsangari|Jason Biggs|person_name
Athol Fugard|Neha Sharma|person_name
Atiq Rahimi|Jason Spevack|person_name
Atlantic City|Appointment with Death|title
Atlantis, the Lost Continent|The Crowd Roars|title
Atom Egoyan|Joe Strummer|person_name
Atomic Twister|The Assignment|title
Atomised|Spider-Man 3|title
Atonement|Liberal Arts|title
Atrocious|My Neighbor Totoro|title
Atsuko Tanaka|Lisa Simone|person_name
Atsuya Uki|Margaret Laurence|person_name
Attack|My Science Project|title
Attack Force|Flying Leathernecks|title
Attack Force Z|All the Brothers Were Valiant|title
Attack of the 50 Foot Woman|Tooth Fairy|title
Attack of the 50 Ft. Woman|Gravity|title
Attack of the Crab Monsters|51 Birch Street|title
Attack of the Giant Leeches|Earthlings|title
Attack of the Puppet People|Our Fathers|title
Attack on the Iron Coast|The Caiman|title
Attack the Block|Sweet Dreams|title
Attenberg|Crying Freeman|title
Attila|Charlie Chan's Murder Cruise|title
Attila Dargay|Alla Nazimova|person_name
Attila Marcel|Blindman|title
Au Hasard Balthazar|Godzilla vs. Megalon|title
Aubrey Dollar|Misa Shimizu|person_name
Aubrey Plaza|Brian O'Halloran|person_name
Audie England|Ane Dahl Torp|person_name
Audie Murphy|Christopher Gorham|person_name
Audition|Slappy and the Stinkers|title
Audra Lindley|Dick Huemer|person_name
Audrey Dalton|Alice Arlen|person_name
Audrey Hepburn|Damian Lewis|person_name
Audrey Long|Sidney Kingsley|person_name
Audrey Meadows|Deb Hagan|person_name
Audrey Niffenegger|Jean Hersholt|person_name
Audrey Rose|Before and After|title
Audrey Tautou|Tom Stern|person_name
Audrey Totter|Andrea Seigel|person_name
Audrey Wells|Austin Bunn|person_name
Auggie Rose|Singles|title
August|The Dark Angel|title
August Evening|Forever Strong|title
August Rush|The Nun's Story|title
August Schellenberg|Kami Garcia|person_name
August Strindberg|Leigh Chapman|person_name
Auguste Le Breton|Helene Bergsholm|person_name
Augusten Burroughs|Arthur Symons|person_name
Augusto Caminito|Laura Breckenridge|person_name
Augustus Goetz|Adrian Pasdar|person_name
Augustus Phillips|Jonathan Glazer|person_name
Aunjanue Ellis|Lee Tergesen|person_name
Auntie Mame|It Runs in the Family|title
Auraeus Solito|Aleksandr Gordon|person_name
Aurania Rouverol|Bill Clinton|person_name
Aurelius Battaglia|Marsha Dietlein|person_name
Aurora|Interrupted Melody|title
Aurora Borealis|Bilitis|title
Aurora Miranda|Seth Zvi Rosenfeld|person_name
Aurélien Recoing|George Carlin|person_name
Austenland|Top Dog|title
Austin Bunn|Phil Daniels|person_name
Austin Butler|Lois Nettleton|person_name
Austin Chick|Tadeusz Kondrat|person_name
Austin Green|Betty MacDonald|person_name
Austin O'Brien|Louis L'Amour|person_name
Austin Parker|Robert B. Sherman|person_name
Austin Pendleton|Rawson Marshall Thurber|person_name
Austin Powers in Goldmember|Nadja|title
Austin Rogers|Laraine Day|person_name
Austin Stoker|John Larroquette|person_name
Austin Strong|John Benjamin Hickey|person_name
Austin Williams|Allen Payne|person_name
Australia|Enemy at the Gates|title
Austregésilo Carrano|Vikramaditya Motwane|person_name
Author! Author!|Sleep with Me|title
Authors Anonymous|Midnight Bayou|title
Auto Focus|Flight 93|title
Autopsy|Born to Kill|title
Autumn Ball|Hot Tub Time Machine|title
Autumn Leaves|The Born Losers|title
Autumn Sonata|Good News|title
Autumn Spring|Fled|title
Autumn Tale|Madadayo|title
Autumn in New York|Scarecrows|title
Autómata|Philadelphia|title
Ava DuVernay|Robert Wells|person_name
Ava Gardner|Mads Mikkelsen|person_name
Avalanche|Baby Mama|title
Avalon|Night Must Fall|title
Avanti!|Walk on Water|title
Avatar|Scrooge|title
Avenger|Beerfest|title
Avenging Angelo|The World Is Not Enough|title
Avenue Montaigne|Save Me|title
Avery Brooks|Gino Cervi|person_name
Avery Corman|Stephen Baldwin|person_name
Avery Duff|Nathan Fillion|person_name
Avery Hopwood|Francine Prose|person_name
Avi Hoffman|Gregg Kavet|person_name
Avi Korine|Nick Scotti|person_name
Avi Nesher|Richard Rosson|person_name
Aviva Kempner|Ivan Raimi|person_name
Avra Wing|Jiah Khan|person_name
Awake|Madonna of the Seven Moons|title
Awakenings|Price of Glory|title
Away We Go|Everybody's Famous!|title
Away from Her|Doctor X|title
Ax 'Em|The Ketchup Effect|title
Axel Corti|Cameron Monaghan|person_name
Axel Scheffler|Marcus Raboy|person_name
Aya Irizuki|Chrysanthy Balis|person_name
Aya Ueto|Alfred J. Goulding|person_name
Aya of Yop City|Apostle Peter and the Last Supper|title
Ayaan Hirsi Ali|Gary Entin|person_name
Ayad Akhtar|Gene Tagaban|person_name
Ayako Yoshida|Aki Avni|person_name
Ayano Shiraishi|John Gay|person_name
Ayelet Waldman|Justino Díaz|person_name
Ayelet Zurer|Jay Cronley|person_name
Ayesha Dharker|Milton Moses Ginsberg|person_name
Ayesha Mohan|Paul Mariano|person_name
Ayesha Takia|Raoul Peck|person_name
Ayn Rand|Alfredo Giannetti|person_name
Ayn Ruymen|Dakota Goyo|person_name
Ayrton Senna|John McAdams|person_name
Ayu Kitaura|Salman Shahid|person_name
Ayushmann Khurrana|Bradley Pierce|person_name
Aziz Ansari|Geno Lechner|person_name
Aziz Mirza|Cameron Dye|person_name
Azumi|Youngblood|title
Azura Skye|Hiroshi Watanabe|person_name
Aída Bortnik|Elena Rufanova|person_name
B*A*P*S|Hard to Hold|title
B. Cole|Julia Loktev|person_name
B. Monkey|The House by the Cemetery|title
B. Traven|Lucille Benson|person_name
B.F.'s Daughter|Attack of the 50 Ft. Woman|title
B.Z. Goldberg|Bob Dermer|person_name
BASEketball|The Tracey Fragments|title
BJ McDonnell|Len Blum|person_name
BURN-E|The Wild Life|title
BUtterfield 8|School Daze|title
Baadasssss!|The Burglar|title
Baard Owe|Beatrice Kay|person_name
Baarìa|Dead Husbands|title
Babak Payami|John Eugene Cay Jr.|person_name
Babaloo Mandel|Howard Rigsby|person_name
Babbar Subhash|Anastasia Griffith|person_name
Babe|Tactical Force|title
Babe Ruth|Delphine Seyrig|person_name
Babel|G.O.R.A.|title
Babes in Arms|Beyond Therapy|title
Babes in Toyland|Violent Saturday|title
Babes on Broadway|The King of Marvin Gardens|title
Babette's Feast|The Prisoner of Zenda|title
Babies|Woyzeck|title
Baby Boom|Sandor slash Ida|title
Baby Boy|The Earrings of Madame de...|title
Baby Doll|Tammy and the T-Rex|title
Baby Face|The Iron Giant|title
Baby Geniuses|Songcatcher|title
Baby Mama|Open Windows|title
Baby Peggy|Barry Strugatz|person_name
Baby Take a Bow|Pyaasa|title
Baby the Rain Must Fall|The Nutty Professor|title
Baby's Day Out|Now Is Good|title
Babylon|Ripley Under Ground|title
Babylon A.D.|Khrustalyov, My Car!|title
Babysitter Wanted|Dog Pound|title
Babysitting|The Horrible Dr. Hichcock|title
Bachelor Mother|The Beyond|title
Bachelor Party|Jack the Giant Killer|title
Bachelor Party Vegas|Frontier of the Dawn|title
Bachelor in Paradise|Look Who's Talking|title
Bachelorette|No Man of Her Own|title
Back Door to Hell|Finian's Rainbow|title
Back Street|Gozu|title
Back from Eternity|Blink|title
Back in Business|Boiler Room|title
Back in the Day|Very Good Girls|title
Back in the Saddle|Captain Kidd|title
Back to Bataan|Restaurant|title
Back to School|Cops|title
Back to School with Franklin|Crime Spree|title
Back to the Beach|The Legend of Hercules|title
Back to the Future|Darling Lili|title
Back to the Future Part II|Omega Doom|title
Back to the Future Part III|Monsieur Hire|title
Backbeat|Cabaret|title
Backdraft|In This World|title
